player_name,nationality,position,club,league,age,birth_year,primary_position,matches_played,matches_started,minutes_played,games_equivalent,goals,assists,goals_assists,nonpenalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,progressive_carries,progressive_passes,progressive_receptions,xg,npxg,xag,npxg_plus_xag,goals_assists_nopenalty,xg_plus_xag,xa,goals_vs_xg,npgoals_vs_xg,assists_vs_xag,shots,shots_on_target,freekick_shots,passes_completed,passes_attempted,pass_total_distance,pass_progressive_distance,key_passes,passes_final_third,passes_penalty_area,crosses_penalty_area,live_ball_passes,dead_ball_passes,freekick_passes,through_balls,switches,crosses,throw_ins,corner_kicks,inswing_corners,outswing_corners,straight_corners,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,dribbles_challenged,dribbles_challenged_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_interceptions,clearances,errors_leading_to_shot,shot_creating_actions,sca_live_pass,sca_dead_pass,sca_takeons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,touches,touches_own_box,touches_def_third,touches_mid_third,touches_att_third,touches_opp_box,live_ball_touches,dribbles_attempted,dribbles_successful,times_tackled_dribbling,carries,carry_progressive_distance,carries_final_third,carries_penalty_area,miscontrols,dispossessed,passes_received,second_yellow_cards,fouls_committed,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,goals_conceded,shots_on_target_faced,saves,gk_wins,gk_draws,gk_losses,clean_sheets,penalties_faced,penalties_scored_against,penalties_saved,penalties_missed_by_shooter,post_shot_xg,post_shot_xg_difference,gk_passes_completed,gk_passes_attempted,goal_kicks,gk_throws,crosses_faced,crosses_stopped,sweeper_actions,shot_accuracy_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,npxg_per_shot,pass_completion_pct,tackle_success_pct,shot_creating_actions_per90,goal_creating_actions_per90,dribble_success_pct,tackled_while_dribbling_pct,aerial_duel_win_pct,goals_conceded_per90,save_pct,clean_sheet_pct,post_shot_xg_per_shot,psxg_difference_per90,gk_pass_completion_pct,long_pass_pct,avg_pass_length,cross_stop_pct,sweeper_actions_per90,avg_sweeper_distance,sufficient_minutes,goals+_per90,assists+_per90,shots+_per90,shots_on_target+_per90,key_passes+_per90,progressive_carries+_per90,progressive_passes+_per90,tackles+_per90,interceptions+_per90,clearances+_per90,xg+_per90,xag+_per90
Jordan Ayew,gh GHA,"FW,MF",Leicester City,Premier League,32,1991,FW,31,19,1659,18.4,5,0,5,4,1,1,6,0,49,46,87,3.7,2.9,1.1,4.0,0.22,2.41,1.5,1.3,1.1,-1.1,32,8,4,409,550,6109,1220,17,25,14,7,498,51,13,3,3,61,5,29,16,8,3,28,15,8,14,6,23,16,21,2,19,12,40,19,0,42,25,8,3,4,1,1,2,810,21,103,414,317,56,809,64,26,32,485,1552,37,11,63,41,549,0,31,59,7,0,0,0,94,38,81,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,25.473417721518988,1.7327848101265824,0.43443037974683546,0.12835443037974684,0.5,18.631645569620254,0.08481012658227848,74.37215189873417,30.4,2.2758227848101265,0.10860759493670886,40.6,50.0,31.832911392405066,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.27,0.0,1.74,0.43,0.92,2.66,2.5,1.52,0.65,1.03,0.2,0.06
Jordan Ferri,fr FRA,MF,Montpellier,Ligue 1,32,1992,MF,25,21,1773,19.7,0,2,2,0,0,0,6,1,19,137,42,0.4,0.4,0.9,1.3,0.1,0.07,1.3,-0.4,-0.4,1.1,14,3,0,1119,1267,19942,5049,13,119,11,4,1204,58,45,2,7,25,13,0,0,0,0,42,23,18,22,2,44,26,20,3,17,9,51,20,0,47,40,0,0,2,4,1,5,1433,35,316,869,265,13,1433,28,9,16,802,1663,16,2,16,27,1066,0,35,30,0,0,3,0,132,13,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,21.4,0.71,0.15,0.0,0.0,26.0,0.03,88.3,40.9,2.39,0.25,32.1,57.1,46.4,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.1,0.71,0.15,0.66,0.96,6.95,2.13,0.46,1.02,0.02,0.05
Jordan James,wls WAL,MF,Rennes,Ligue 1,20,2004,MF,23,14,1178,13.1,0,1,1,0,0,0,4,0,21,67,15,0.9,0.9,1.9,2.8,0.08,0.21,1.7,-0.9,-0.9,-0.9,17,3,0,483,574,8380,2504,24,55,12,2,526,47,16,1,9,34,2,29,6,10,0,30,19,8,18,4,30,14,14,1,13,14,44,17,1,44,26,11,2,4,1,0,6,704,17,134,388,186,19,704,21,9,10,336,765,9,6,13,11,474,0,26,15,1,0,0,0,54,10,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,17.6,1.3,0.23,0.0,0.0,21.7,0.05,84.1,53.3,3.36,0.46,42.9,47.6,58.8,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.08,1.3,0.23,1.83,1.6,5.11,2.29,1.07,1.3,0.07,0.15
Jordan Lefort,fr FRA,DF,Angers,Ligue 1,30,1993,DF,34,34,3060,34.0,0,1,1,0,0,0,3,0,6,89,13,0.6,0.6,1.1,1.6,0.03,0.05,1.2,-0.6,-0.6,-0.1,9,1,1,1446,1749,27893,12926,10,89,11,4,1649,90,80,5,9,12,5,0,0,0,0,52,30,42,9,1,44,14,56,37,19,32,84,206,3,26,23,0,0,1,1,1,1,2144,335,1304,765,87,19,2144,17,8,7,1196,4191,6,0,16,2,1420,0,14,15,1,0,1,0,110,40,28,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,11.1,0.26,0.03,0.0,0.0,12.9,0.06,82.7,68.2,0.76,0.03,47.1,41.2,58.8,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.0,0.03,0.26,0.03,0.29,0.18,2.62,1.53,0.94,6.06,0.02,0.03
Jordan Lotomba,ch SUI,"MF,DF",Nice,Ligue 1,25,1998,MF,2,0,35,0.4,0,0,0,0,0,0,0,0,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17,21,249,51,0,1,0,0,19,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,24,2,3,15,6,0,24,3,1,2,19,110,0,0,0,1,17,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,,0.0,0.0,,,,,81.0,,5.14,0.0,33.3,66.7,,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,10.0,7.5,0.0,0.0,2.5,0.0,0.0
Jordan Pefok,us USA,FW,Union Berlin,Bundesliga,28,1996,FW,25,16,1288,14.3,1,1,2,1,0,0,2,0,6,16,47,4.1000000000000005,4.1000000000000005,1.6,5.699999999999999,0.33999999999999997,0.78,0.6000000000000001,-3.1,-3.1,-0.6,34,9,0,171,241,2057,386,17,11,3,0,224,16,0,0,2,1,2,0,0,0,0,14,8,6,3,5,10,5,12,3,9,6,20,23,0,35,22,1,2,7,3,0,0,416,29,73,194,157,60,416,17,9,7,210,279,6,1,30,25,270,0,33,23,10,0,0,0,38,54,45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,26.80062111801242,2.377360248447205,0.6250931677018634,0.026552795031055898,0.14751552795031056,11.432919254658383,0.12229813664596274,71.72577639751552,49.92173913043478,2.4472360248447202,0.0,52.67888198757763,39.94534161490684,54.01832298136647,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.07,0.07,2.38,0.63,1.19,0.42,1.12,0.98,0.42,1.61,0.29,0.11
Jordan Pickford,eng ENG,GK,Everton,Premier League,30,1994,GK,38,38,3420,38.0,0,1,1,0,0,0,7,0,0,0,0,0.0,0.0,0.4,0.4,0.03,0.01,0.2,0.0,0.0,0.6,0,0,0,1057,1595,33692,25121,2,74,8,0,1167,419,188,0,7,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,2,30,2,13,12,1,0,0,0,0,2,1708,1116,1640,69,0,0,1708,0,0,0,989,3568,0,0,2,0,871,0,0,7,0,0,0,0,36,5,1,44,163,117,11,15,12,12,2,0,2,0,48.8,4.8,304,806,1355,161,558,31,57,,0.0,0.0,,,,,66.3,50.0,0.3400000000000001,0.05,,,83.3,1.16,73.0,31.6,0.3,0.13,37.7,48.8,39.7,5.6,1.5,15.2,True,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.03,0.03,0.79,0.0,0.01
Jordan Teze,nl NED,DF,Monaco,Ligue 1,24,1999,DF,16,8,569,6.3,1,0,1,1,0,0,2,1,9,31,41,1.2,1.2,1.5,2.7,0.16,0.43,2.0,-0.2,-0.2,-1.5,5,2,0,287,363,4858,1860,13,28,9,3,289,73,7,1,1,12,63,3,1,0,0,18,9,8,9,1,16,9,12,1,11,6,24,15,0,19,19,0,0,0,0,0,0,434,15,100,215,124,15,434,10,5,4,171,452,11,2,8,3,237,0,10,3,1,0,0,0,29,7,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,40.0,0.79,0.32,0.2,0.5,13.8,0.24,79.1,43.8,3.01,0.0,50.0,40.0,46.7,0.0,,,,0.0,,,0.0,,0.0,0.0,False,0.16,0.0,0.79,0.32,2.06,1.43,4.92,2.86,0.95,2.38,0.19,0.24
Jordan Veretout,fr FRA,MF,Lyon,Ligue 1,31,1993,MF,27,19,1553,17.3,2,0,2,2,0,0,3,0,35,99,60,1.9,1.9,0.6,2.5,0.12,0.14,0.9,0.1,0.1,-0.6,21,9,0,792,944,13258,3471,13,86,12,0,905,38,13,1,6,26,6,8,8,0,0,30,14,14,14,2,40,23,17,3,14,5,35,23,1,36,30,3,0,2,0,1,1,1085,32,210,639,249,28,1085,9,5,3,597,1362,18,6,22,7,770,0,23,11,0,0,0,0,88,12,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,42.9,1.22,0.52,0.1,0.22000000000000003,18.5,0.08999999999999998,83.9,42.5,2.09,0.06,55.6,33.3,44.4,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.12,0.0,1.21,0.52,0.75,2.02,5.72,1.73,0.29,1.33,0.11,0.03
Jordan Zemura,zw ZIM,DF,Udinese,Serie A,24,1999,DF,23,13,1415,15.7,1,2,3,1,0,0,2,0,25,42,76,1.0,1.0,1.0,2.0,0.19,0.13,1.4,0.0,0.0,1.0,14,3,3,475,621,7519,2859,11,24,15,9,488,132,11,0,0,39,116,5,1,2,0,31,14,14,12,5,29,12,17,4,13,16,47,41,0,30,19,7,1,1,1,1,4,815,44,232,331,263,23,815,48,20,24,403,1080,18,3,24,17,434,0,22,7,2,0,0,0,60,6,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,21.4,0.8899999999999999,0.19,0.07,0.33,19.0,0.07,76.5,58.6,1.9100000000000001,0.25,41.7,50.0,30.0,0.0,,,,0.0,,,0.0,,0.0,0.0,True,0.06,0.13,0.89,0.19,0.7,1.59,2.68,1.97,1.02,2.61,0.06,0.06
